Uuid,PropertyName,PrimaryDataType,Pset,Description,PropertyType
e2332b34-439e-4d00-a286-056fb57e0fb1,AbnormalBerthingFactor,IfcPositiveRatioMeasure,Pset_BerthCommon,"Risk assessed safety factor",P_SINGLEVALUE
b71df187-68c1-4165-b998-315367cda990,AboveDeckProjectedWindEnd,IfcAreaMeasure,Pset_MarineVehicleCommon,"End on projected windage area above the main deck",P_SINGLEVALUE
873f7b02-c778-409e-ab1f-2e714eb86ea2,AboveDeckProjectedWindSide,IfcAreaMeasure,Pset_MarineVehicleCommon,"Side on projected windage area above the main deck",P_SINGLEVALUE
89e3dd80-d1c5-11e1-8000-00215ad4efdf,AboveGround,IfcLogical,Pset_BuildingStoreyCommon,"Indication whether this building storey is fully above ground (TRUE), or below ground (FALSE), or partially above and below ground (UNKNOWN) - as in sloped terrain.",P_SINGLEVALUE
429d1682-4433-457f-a1a8-05e581da5c4f,AcceptanceDate,IfcDate,Pset_InstallationOccurrence,"Date on which the element is accepted by the manager or administrator.",P_SINGLEVALUE
32993980-d1d4-11e1-8000-00215ad4efdf,AccessCoverLoadRating,IfcText,Pset_DistributionChamberElementTypeManhole,"The load rating of the access cover (which may be a value or an alphanumerically defined class rating).",P_SINGLEVALUE
88b9ad00-d1d3-11e1-8000-00215ad4efdf,AccessCoverLoadRating,IfcText,Pset_DistributionChamberElementTypeFormedDuct,"The load rating of the access cover (which may be a value or an alphanumerically defined class rating).",P_SINGLEVALUE
d46c5680-d1d3-11e1-8000-00215ad4efdf,AccessCoverLoadRating,IfcText,Pset_DistributionChamberElementTypeInspectionChamber,"The load rating of the access cover (which may be a value or an alphanumerically defined class rating).",P_SINGLEVALUE
23b28700-d1d4-11e1-8000-00215ad4efdf,AccessCoverMaterial,IfcMaterialDefinition,Pset_DistributionChamberElementTypeManhole,"The material from which the access cover to the chamber is constructed.
NOTE: It is assumed that chamber walls will be constructed of a single material.",P_REFERENCEVALUE
5b213380-d1d4-11e1-8000-00215ad4efdf,AccessCoverMaterial,IfcMaterialDefinition,Pset_DistributionChamberElementTypeMeterChamber,"The material from which the access cover to the chamber is constructed.
NOTE: It is assumed that chamber walls will be constructed of a single material.",P_REFERENCEVALUE
b6532600-d1d4-11e1-8000-00215ad4efdf,AccessCoverMaterial,IfcMaterialDefinition,Pset_DistributionChamberElementTypeValveChamber,"The material from which the access cover to the chamber is constructed.
NOTE: It is assumed that chamber walls will be constructed of a single material.",P_REFERENCEVALUE
bdc5ff80-d1d3-11e1-8000-00215ad4efdf,AccessCoverMaterial,IfcMaterialDefinition,Pset_DistributionChamberElementTypeInspectionChamber,"The material from which the access cover to the chamber is constructed.
NOTE: It is assumed that chamber walls will be constructed of a single material.",P_REFERENCEVALUE
26ad7780-d1d4-11e1-8000-00215ad4efdf,AccessLengthOrRadius,IfcPositiveLengthMeasure,Pset_DistributionChamberElementTypeManhole,"The length of the chamber access cover or, where the plan shape of the cover is circular, the radius.",P_SINGLEVALUE
